winner_name;loser_name;event_date;method;round;time;time_format;bout_type;event_name;event_location;winner_stance;loser_stance;winner;delta_KD;delta_sig_str_pct;delta_total_str_pct;delta_TD_pct;delta_sub_att;delta_rev;delta_ctrl;delta_sig_str_head_acc_pct;delta_sig_str_body_acc_pct;delta_sig_str_leg_acc_pct;delta_sig_str_distance_acc_pct;delta_sig_str_clinch_acc_pct;delta_sig_str_ground_acc_pct;delta_sig_str_head_tar_pct;delta_sig_str_body_tar_pct;delta_sig_str_leg_tar_pct;delta_sig_str_distance_pos_pct;delta_sig_str_clinch_pos_pct;delta_sig_str_ground_pos_pct;delta_height;delta_reach;delta_slpm_cs;delta_str_acc_cs;delta_sapm_cs;delta_str_def_cs;delta_td_avg_cs;delta_td_acc_cs;delta_td_def_cs;delta_sub_avg_cs
ILIA TOPURIA;MAX HOLLOWAY;26/10/2024;KO/TKO;3.0;1:34;5 Rnd (5-5-5-5-5);UFC Featherweight Title Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;red;1.0;14.0;12.87;100.0;0.0;0.0;45.0;11.85;35.24;11.14;11.98;0.0;100.0;6.0;-2.0;-4.0;-6.0;0.0;5.0;-10.16;0.0;-4.76;-1.0;-2.71;8.0;4.04;-16.0;16.0;3.9
KHAMZAT CHIMAEV;ROBERT WHITTAKER;26/10/2024;Submission;1.0;3:34;5 Rnd (5-5-5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;blue;0.0;-25.0;-19.35;50.0;1.0;0.0;200.0;66.67;100.0;-100.0;-100.0;0.0;100.0;66.0;33.0;-100.0;-100.0;0.0;100.0;5.08;5.08;4.51;32.0;-3.34;6.0;4.24;48.0;-84.0;3.1
MAGOMED ANKALAEV;ALEKSANDAR RAKIC;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Light Heavyweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;red;0.0;3.0;4.85;0.0;0.0;0.0;31.0;12.4;0.86;15.0;2.57;5.56;0.0;18.0;24.0;-41.0;-4.0;4.0;0.0;-2.54;-7.62;-0.82;1.0;-0.45;13.0;0.43;8.0;-5.0;-0.2
LERONE MURPHY;DAN IGE;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;Orthodox;red;-1.0;9.0;13.82;27.0;0.0;-2.0;-150.0;8.71;8.09;-33.33;5.74;37.5;2.27;-7.0;13.0;-6.0;2.0;10.0;-12.0;5.08;5.08;-1.09;-4.0;-1.29;5.0;-0.81;6.0;-18.0;0.4
SHARA MAGOMEDOV;ARMEN PETROSYAN;26/10/2024;KO/TKO;2.0;4:52;3 Rnd (5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;1.0;6.0;7.43;0.0;0.0;0.0;-19.0;11.95;13.86;-11.84;6.23;0.0;0.0;8.0;32.0;-40.0;-1.0;1.0;0.0;;;;;;;;;;
IBO ASLAN;RAFAEL CERQUEIRA;26/10/2024;KO/TKO;1.0;0:51;3 Rnd (5-5-5);Light Heavyweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;-23.0;-22.22;0.0;0.0;0.0;0.0;78.79;100.0;-100.0;-22.22;0.0;0.0;92.0;7.0;-100.0;0.0;0.0;0.0;;;;;;;;;;
GEOFF NEAL;RAFAEL DOS ANJOS;26/10/2024;KO/TKO;1.0;1:30;3 Rnd (5-5-5);Welterweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Southpaw;Southpaw;red;1.0;30.0;30.99;100.0;0.0;0.0;27.0;30.0;0.0;50.0;23.4;0.0;83.33;16.0;-9.0;-9.0;-28.0;0.0;27.0;7.62;12.7;1.45;3.0;1.71;0.0;-1.43;13.0;34.0;-0.4
MATEUSZ REBECKI;MYKTYBEK OROLBAI;26/10/2024;Decision - Split;3.0;5:00;3 Rnd (5-5-5);Catch Weight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;1.0;3.0;0.98;35.0;0.0;-1.0;19.0;1.93;36.36;-15.0;-2.25;83.33;-14.29;-2.0;5.0;-2.0;-22.0;7.0;15.0;;;;;;;;;;
ABUS MAGOMEDOV;BRUNNO FERREIRA;26/10/2024;Submission;3.0;3:14;3 Rnd (5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;4.0;12.19;50.0;0.0;-1.0;203.0;-8.9;-2.27;100.0;5.61;-50.0;-50.0;-30.0;-1.0;30.0;11.0;-3.0;-6.0;;;;;;;;;;
KENNEDY NZECHUKWU;CHRIS BARNETT;26/10/2024;KO/TKO;1.0;4:27;3 Rnd (5-5-5);Heavyweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Southpaw;;red;0.0;33.0;33.63;0.0;0.0;0.0;0.0;42.36;28.98;22.22;33.2;0.0;100.0;29.0;27.0;-57.0;-2.0;0.0;1.0;;;;;;;;;;
FARID BASHARAT;VICTOR HUGO;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;11.0;15.48;32.0;-1.0;0.0;259.0;11.75;11.54;33.34;11.3;0.0;57.14;14.0;-18.0;4.0;-5.0;-1.0;6.0;;;;;;;;;;
ISMAIL NAURDIEV;BRUNO SILVA;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Middleweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;Orthodox;;red;0.0;19.0;26.46;23.0;0.0;0.0;351.0;14.55;8.33;50.0;17.83;18.75;100.0;-14.0;11.0;2.0;-6.0;0.0;6.0;-5.08;;3.17;52.0;1.3;68.0;1.25;71.0;70.0;0.2
RINAT FAKHRETDINOV;CARLOS LEAL;26/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Welterweight Bout;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;;;red;0.0;6.0;0.42;-15.0;0.0;0.0;181.0;9.79;-22.31;0.0;8.04;-34.67;0.0;8.0;-1.0;-6.0;1.0;-1.0;0.0;;;;;;;;;;
ANTHONY HERNANDEZ;MICHEL PEREIRA;19/10/2024;KO/TKO;5.0;2:22;5 Rnd (5-5-5-5-5);Middleweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;Orthodox;red;0.0;26.0;27.97;34.0;-1.0;-1.0;886.0;39.05;30.13;83.33;8.65;35.71;82.91;49.0;-52.0;3.0;-55.0;-9.0;63.0;-2.54;5.08;1.18;1.0;2.25;-11.0;2.0;-4.0;-30.0;1.4
ROB FONT;KYLER PHILLIPS;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;Orthodox;red;0.0;14.0;10.17;-80.0;0.0;0.0;-203.0;21.59;9.04;-76.92;14.18;66.66;-71.43;31.0;-5.0;-26.0;7.0;6.0;-13.0;0.0;-2.54;-0.11;-4.0;0.79;1.0;-1.68;-27.0;-23.0;0.4
CHARLES JOHNSON;SUMUDAERJI;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Flyweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;;red;1.0;-9.0;-4.89;33.0;-2.0;-1.0;128.0;-5.54;21.51;-28.49;-10.53;-27.78;64.71;10.0;14.0;-24.0;-15.0;-2.0;16.0;;;;;;;;;;
CAMERON SMOTHERMAN;JAKE HADLEY;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Bantamweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;;;blue;0.0;1.0;-2.46;-50.0;0.0;0.0;-113.0;1.18;-4.16;-4.91;0.87;-50.0;0.0;-2.0;22.0;-20.0;2.0;-1.0;0.0;;;;;;;;;;
DARREN ELKINS;DANIEL PINEDA;19/10/2024;Decision - Unanimous;3.0;5:00;3 Rnd (5-5-5);Featherweight Bout;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;Orthodox;Orthodox;red;0.0;-14.0;-11.76;25.0;-2.0;0.0;211.0;-16.8;20.0;-60.0;-5.95;-57.14;-13.94;9.0;1.0;-9.0;17.0;4.0;-21.0;7.62;5.08;0.09;-11.0;0.36;8.0;1.15;4.0;14.0;-0.6
