red_fighter_name;blue_fighter_name;event_date;red_fighter_result;blue_fighter_result;method;bout_type;bonus;red_fighter_total_pts;blue_fighter_total_pts
ILIA TOPURIA;MAX HOLLOWAY;26/10/2024;W;L;KO/TKO;UFC Featherweight Title Bout;belt;20 20 19;18 18 19
ROBERT WHITTAKER;KHAMZAT CHIMAEV;26/10/2024;L;W;Submission;Middleweight Bout;perf;- - -;- - -
MAGOMED ANKALAEV;ALEKSANDAR RAKIC;26/10/2024;W;L;Decision - Unanimous;Light Heavyweight Bout;-;29 29 29;28 28 28
LERONE MURPHY;DAN IGE;26/10/2024;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
SHARA MAGOMEDOV;ARMEN PETROSYAN;26/10/2024;W;L;KO/TKO;Middleweight Bout;perf;10 10 10;9 9 9
IBO ASLAN;RAFAEL CERQUEIRA;26/10/2024;W;L;KO/TKO;Light Heavyweight Bout;-;- - -;- - -
GEOFF NEAL;RAFAEL DOS ANJOS;26/10/2024;W;L;KO/TKO;Welterweight Bout;-;- - -;- - -
MATEUSZ REBECKI;MYKTYBEK OROLBAI;26/10/2024;W;L;Decision - Split;Catch Weight Bout;fight;29 29 28;28 28 29
ABUS MAGOMEDOV;BRUNNO FERREIRA;26/10/2024;W;L;Submission;Middleweight Bout;-;19 19 19;19 19 19
KENNEDY NZECHUKWU;CHRIS BARNETT;26/10/2024;W;L;KO/TKO;Heavyweight Bout;-;- - -;- - -
FARID BASHARAT;VICTOR HUGO;26/10/2024;W;L;Decision - Unanimous;Featherweight Bout;-;30 29 29;27 28 28
ISMAIL NAURDIEV;BRUNO SILVA;26/10/2024;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 30;27 27 27
RINAT FAKHRETDINOV;CARLOS LEAL;26/10/2024;W;L;Decision - Unanimous;Welterweight Bout;-;29 30 29;28 27 28
ANTHONY HERNANDEZ;MICHEL PEREIRA;19/10/2024;W;L;KO/TKO;Middleweight Bout;perf;40 39 40;35 34 35
ROB FONT;KYLER PHILLIPS;19/10/2024;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 29;28 28 28
CHARLES JOHNSON;SUMUDAERJI;19/10/2024;W;L;Decision - Unanimous;Flyweight Bout;-;29 29 29;28 28 28
JAKE HADLEY;CAMERON SMOTHERMAN;19/10/2024;L;W;Decision - Unanimous;Bantamweight Bout;-;26 27 27;30 29 29
DARREN ELKINS;DANIEL PINEDA;19/10/2024;W;L;Decision - Unanimous;Featherweight Bout;fight;29 29 29;28 28 28
MATHEUS NICOLAU;ASU ALMABAYEV;19/10/2024;L;W;Decision - Unanimous;Flyweight Bout;-;28 28 28;29 29 29
BRAD KATONA;JEAN MATSUMOTO;19/10/2024;L;W;Decision - Unanimous;Bantamweight Bout;-;28 28 28;29 29 29
JOSELYNE EDWARDS;TAMIRES VIDAL;19/10/2024;W;L;Submission;Women's Bantamweight Bout;-;20 20 20;18 18 18
JESSICA PENNE;ELISE REED;19/10/2024;L;W;Decision - Unanimous;Women's Strawweight Bout;-;28 28 28;29 29 29
MELISSA MARTINEZ;ALICE ARDELEAN;19/10/2024;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 30 30;27 27 27
AUSTEN LANE;ROBELIS DESPAIGNE;19/10/2024;W;L;Decision - Unanimous;Heavyweight Bout;-;29 29 29;28 28 28
BRANDON ROYVAL;TATSURO TAIRA;12/10/2024;W;L;Decision - Split;Flyweight Bout;fight;47 48 48;48 47 47
BRAD TAVARES;JUNYONG PARK;12/10/2024;L;W;Decision - Split;Middleweight Bout;-;28 28 29;29 29 28
CHIDI NJOKUANI;JARED GOODEN;12/10/2024;W;L;Decision - Unanimous;Welterweight Bout;-;30 30 30;27 27 27
GRANT DAWSON;RAFA GARCIA;12/10/2024;W;L;KO/TKO;Lightweight Bout;-;10 10 10;9 9 9
DANIEL RODRIGUEZ;ALEX MORONO;12/10/2024;W;L;Decision - Split;Welterweight Bout;-;29 29 28;28 28 29
CJ VERGARA;RAMAZAN TEMIROV;12/10/2024;L;W;KO/TKO;Flyweight Bout;perf;- - -;- - -
JONATHAN PEARCE;PAT SABATINI;12/10/2024;L;W;Submission;Featherweight Bout;-;- - -;- - -
THEMBA GORIMBO;NIKO PRICE;12/10/2024;W;L;Decision - Unanimous;Welterweight Bout;-;30 30 30;27 27 27
JUNIOR TAFA;SEAN SHARAF;12/10/2024;W;L;KO/TKO;Heavyweight Bout;-;9 9 9;10 10 10
JULIA POLASTRI;CORY MCKENNA;12/10/2024;W;L;Decision - Split;Women's Strawweight Bout;-;29 28 30;28 29 27
DAN ARGUETA;CODY HADDON;12/10/2024;L;W;Decision - Unanimous;Bantamweight Bout;-;27 27 27;30 30 30
CLAYTON CARPENTER;LUCAS ROCHA;12/10/2024;W;L;Submission;Flyweight Bout;perf;10 10 10;9 9 9
ALEX PEREIRA;KHALIL ROUNTREE JR.;05/10/2024;W;L;KO/TKO;UFC Light Heavyweight Title Bout;belt;28 28 28;29 29 29
RAQUEL PENNINGTON;JULIANNA PENA;05/10/2024;L;W;Decision - Split;UFC Women's Bantamweight Title Bout;belt;47 48 47;48 47 48
JOSE ALDO;MARIO BAUTISTA;05/10/2024;L;W;Decision - Split;Bantamweight Bout;-;28 28 29;29 29 28
ROMAN DOLIDZE;KEVIN HOLLAND;05/10/2024;W;L;KO/TKO;Middleweight Bout;-;10 10 10;9 9 8
KETLEN VIEIRA;KAYLA HARRISON;05/10/2024;L;W;Decision - Unanimous;Women's Bantamweight Bout;-;27 27 28;30 30 29
STEPHEN THOMPSON;JOAQUIN BUCKLEY;05/10/2024;L;W;KO/TKO;Welterweight Bout;perf;19 18 20;19 20 18
MARINA RODRIGUEZ;IASMIN LUCINDO;05/10/2024;L;W;Decision - Split;Women's Strawweight Bout;-;29 28 28;28 29 29
AUSTIN HUBBARD;ALEXANDER HERNANDEZ;05/10/2024;L;W;Decision - Split;Lightweight Bout;-;30 28 28;27 29 29
CESAR ALMEIDA;IHOR POTIERIA;05/10/2024;W;L;Decision - Unanimous;Middleweight Bout;-;30 29 30;27 28 27
RYAN SPANN;OVINCE SAINT PREUX;05/10/2024;W;L;Submission;Light Heavyweight Bout;perf;- - -;- - -
CARLA ESPARZA;TECIA PENNINGTON;05/10/2024;L;W;Decision - Unanimous;Women's Strawweight Bout;-;28 28 27;29 29 30
COURT MCGEE;TIM MEANS;05/10/2024;W;L;Submission;Welterweight Bout;-;- - -;- - -
RENATO MOICANO;BENOIT SAINT DENIS;28/09/2024;W;L;TKO - Doctor's Stoppage;Lightweight Bout;-;19 19 19;18 18 18
NASSOURDINE IMAVOV;BRENDAN ALLEN;28/09/2024;W;L;Decision - Unanimous;Middleweight Bout;-;29 29 29;28 28 28
WILLIAM GOMIS;JOANDERSON BRITO;28/09/2024;W;L;Decision - Split;Featherweight Bout;-;29 28 29;28 29 28
KEVIN JOUSSET;BRYAN BATTLE;28/09/2024;L;W;KO/TKO;Welterweight Bout;perf;9 10 10;10 10 9
MORGAN CHARRIERE;GABRIEL MIRANDA;28/09/2024;W;L;KO/TKO;Featherweight Bout;perf;10 10 10;9 9 9
FARES ZIAM;MATT FREVOLA;28/09/2024;W;L;KO/TKO;Lightweight Bout;perf;20 20 20;18 18 17
ION CUTELABA;IVAN ERSLAN;28/09/2024;W;L;Decision - Split;Light Heavyweight Bout;-;28 29 29;29 28 28
OUMAR SY;DA WOON JUNG;28/09/2024;W;L;Decision - Unanimous;Light Heavyweight Bout;-;30 30 30;27 27 27
LUDOVIT KLEIN;ROOSEVELT ROBERTS;28/09/2024;W;L;Decision - Unanimous;Lightweight Bout;-;30 29 29;27 28 28
TAYLOR LAPILUS;VINCE MORALES;28/09/2024;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;27 27 27
AILIN PEREZ;DARIA ZHELEZNIAKOVA;28/09/2024;W;L;Submission;Women's Bantamweight Bout;-;- - -;- - -
DANIEL BAREZ;VICTOR ALTAMIRANO;28/09/2024;W;L;Decision - Unanimous;Flyweight Bout;-;29 29 29;28 28 28
NORA CORNOLLE;JACQUELINE CAVALCANTI;28/09/2024;L;W;Decision - Split;Women's Bantamweight Bout;-;29 28 28;28 29 29
BOLAJI OKI;CHRIS DUNCAN;28/09/2024;L;W;Submission;Lightweight Bout;perf;- - -;- - -
SEAN O'MALLEY;MERAB DVALISHVILI;14/09/2024;L;W;Decision - Unanimous;UFC Bantamweight Title Bout;belt;46 47 47;49 48 48
ALEXA GRASSO;VALENTINA SHEVCHENKO;14/09/2024;L;W;Decision - Unanimous;UFC Women's Flyweight Title Bout;belt;29 29 29;28 28 28
BRIAN ORTEGA;DIEGO LOPES;14/09/2024;L;W;Decision - Unanimous;Featherweight Bout;-;26 27 27;30 30 30
DANIEL ZELLHUBER;ESTEBAN RIBOVICS;14/09/2024;L;W;Decision - Split;Lightweight Bout;fight;28 29 28;29 28 29
RONALDO RODRIGUEZ;ODE OSBOURNE;14/09/2024;W;L;Decision - Unanimous;Flyweight Bout;-;29 29 29;27 28 27
IRENE ALDANA;NORMA DUMONT;14/09/2024;L;W;Decision - Unanimous;Women's Bantamweight Bout;-;27 27 27;30 30 30
MANUEL TORRES;IGNACIO BAHAMONDES;14/09/2024;L;W;KO/TKO;Lightweight Bout;perf;- - -;- - -
YAZMIN JAUREGUI;KETLEN SOUZA;14/09/2024;L;W;Submission;Women's Strawweight Bout;perf;- - -;- - -
EDGAR CHAIREZ;JOSHUA VAN;14/09/2024;L;W;Decision - Unanimous;Flyweight Bout;-;28 28 28;29 29 29
RAUL ROSAS JR.;AORIQILENG;14/09/2024;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 29;28 28 28
GILBERT BURNS;SEAN BRADY;07/09/2024;L;W;Decision - Unanimous;Welterweight Bout;-;45 46 45;50 49 50
JESSICA ANDRADE;NATALIA SILVA;07/09/2024;L;W;Decision - Unanimous;Women's Flyweight Bout;fight;27 27 27;30 30 30
STEVE GARCIA;KYLE NELSON;07/09/2024;W;L;KO/TKO;Featherweight Bout;perf;- - -;- - -
MATT SCHNELL;CODY DURDEN;07/09/2024;L;W;Submission;Bantamweight Bout;perf;9 9 10;10 10 9
TREVOR PEEK;YANAL ASHMOUZ;07/09/2024;L;W;Decision - Unanimous;Lightweight Bout;-;28 27 28;29 30 29
RONGZHU;CHRIS PADILLA;07/09/2024;L;W;TKO - Doctor's Stoppage;Lightweight Bout;-;9 9 10;10 10 9
ISAAC DULGARIAN;BRENDON MAROTTE;07/09/2024;W;L;Submission;Featherweight Bout;-;10 10 10;8 9 8
FELIPE DOS SANTOS;ANDRE LIMA;07/09/2024;L;W;Decision - Unanimous;Flyweight Bout;-;28 28 27;29 29 30
YIZHA;GABRIEL SANTOS;07/09/2024;L;W;Decision - Unanimous;Featherweight Bout;-;26 26 27;30 30 30
JAQUELINE AMORIM;VANESSA DEMOPOULOS;07/09/2024;W;L;Submission;Women's Strawweight Bout;-;- - -;- - -
ANDRE PETROSKI;DYLAN BUDKA;07/09/2024;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 30;27 27 27
ZYGIMANTAS RAMASKA;NATHAN FLETCHER;07/09/2024;L;W;Submission;Featherweight Bout;-;10 9 10;9 10 9
JARED CANNONIER;CAIO BORRALHO;24/08/2024;L;W;Decision - Unanimous;Middleweight Bout;fight;45 46 45;49 48 49
ANGELA HILL;TABATHA RICCI;24/08/2024;L;W;Decision - Unanimous;Women's Strawweight Bout;-;28 28 28;29 29 29
ROBERT VALENTIN;RYAN LODER;24/08/2024;L;W;KO/TKO;Middleweight Bout;-;9 9 9;10 10 10
KAAN OFLI;MAIRON SANTOS;24/08/2024;L;W;KO/TKO;Featherweight Bout;-;9 9 9;10 10 10
NEIL MAGNY;MICHAEL MORALES;24/08/2024;L;W;KO/TKO;Welterweight Bout;perf;- - -;- - -
EDMEN SHAHBAZYAN;GERALD MEERSCHAERT;24/08/2024;L;W;Submission;Middleweight Bout;perf;10 10 10;9 9 9
DENNIS BUZUKJA;FRANCIS MARSHALL;24/08/2024;L;W;Decision - Split;Lightweight Bout;-;29 27 28;28 30 29
ZACHARY REESE;JOSE DANIEL MEDINA;24/08/2024;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 30;27 27 27
VIACHESLAV BORSHCHEV;JAMES LLONTOP;24/08/2024;W;L;Decision - Split;Lightweight Bout;-;30 29 28;27 28 29
JACQUELINE CAVALCANTI;JOSIANE NUNES;24/08/2024;W;L;Decision - Split;Women's Bantamweight Bout;-;30 29 27;27 28 30
WANG CONG;VICTORIA LEONARDO;24/08/2024;W;L;KO/TKO;Women's Flyweight Bout;-;- - -;- - -
DRICUS DU PLESSIS;ISRAEL ADESANYA;18/08/2024;W;L;Submission;UFC Middleweight Title Bout;belt;28 29 29;29 28 28
KAI KARA-FRANCE;STEVE ERCEG;18/08/2024;W;L;KO/TKO;Flyweight Bout;perf;- - -;- - -
MATEUSZ GAMROT;DAN HOOKER;18/08/2024;L;W;Decision - Split;Lightweight Bout;fight;28 28 29;29 29 28
TAI TUIVASA;JAIRZINHO ROZENSTRUIK;18/08/2024;L;W;Decision - Split;Heavyweight Bout;-;30 28 27;27 29 30
LI JINGLIANG;CARLOS PRATES;18/08/2024;L;W;KO/TKO;Welterweight Bout;perf;9 9 9;10 10 10
JUNIOR TAFA;VALTER WALKER;18/08/2024;L;W;Submission;Heavyweight Bout;-;- - -;- - -
JOSH CULIBAO;RICARDO RAMOS;18/08/2024;L;W;Decision - Split;Featherweight Bout;-;29 28 28;28 29 29
CASEY O'NEILL;LUANA SANTOS;18/08/2024;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 30;26 27 27
JACK JENKINS;HERBERT BURNS;18/08/2024;W;L;KO/TKO;Featherweight Bout;-;20 20 20;18 17 18
TOM NOLAN;ALEX REYES;18/08/2024;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 29;27 27 28
SONG KENAN;RICKY GLENN;18/08/2024;W;L;Decision - Unanimous;Welterweight Bout;-;29 30 30;28 26 27
STEWART NICOLL;JESUS AGUILAR;18/08/2024;L;W;Submission;Flyweight Bout;-;- - -;- - -
MARCIN TYBURA;SERGHEI SPIVAC;10/08/2024;L;W;Submission;Heavyweight Bout;perf;- - -;- - -
DAMON JACKSON;CHEPE MARISCAL;10/08/2024;L;W;Decision - Unanimous;Featherweight Bout;-;26 25 25;30 30 30
DANNY BARLOW;NIKOLAY VERETENNIKOV;10/08/2024;W;L;Decision - Split;Welterweight Bout;-;29 27 29;28 30 28
CHRIS GUTIERREZ;QUANG LE;10/08/2024;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 29;28 28 28
YANA SANTOS;CHELSEA CHANDLER;10/08/2024;W;L;Decision - Unanimous;Women's Bantamweight Bout;-;30 29 29;27 28 28
TOSHIOMI KAZAMA;CHARALAMPOS GRIGORIOU;10/08/2024;W;L;Submission;Bantamweight Bout;perf;10 10 10;9 9 9
KAROL ROSA;PANNIE KIANZAD;10/08/2024;W;L;Decision - Unanimous;Women's Bantamweight Bout;-;30 30 30;27 27 27
JHONATA DINIZ;KARL WILLIAMS;10/08/2024;W;L;Decision - Unanimous;Heavyweight Bout;-;29 30 29;28 27 28
YOUSSEF ZALAL;JARNO ERRENS;10/08/2024;W;L;Submission;Featherweight Bout;perf;- - -;- - -
STEPHANIE LUCIANO;TALITA ALENCAR;10/08/2024;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 30 30;27 27 27
CORY SANDHAGEN;UMAR NURMAGOMEDOV;03/08/2024;L;W;Decision - Unanimous;Bantamweight Bout;-;45 46 46;50 49 49
SHARA MAGOMEDOV;MICHAL OLEKSIEJCZUK;03/08/2024;W;L;Decision - Unanimous;Middleweight Bout;fight;30 30 29;27 27 28
MARLON VERA;DEIVESON FIGUEIREDO;03/08/2024;L;W;Decision - Unanimous;Bantamweight Bout;-;28 28 27;29 29 30
TONY FERGUSON;MICHAEL CHIESA;03/08/2024;L;W;Submission;Welterweight Bout;-;- - -;- - -
MACKENZIE DERN;LOOPY GODINEZ;03/08/2024;W;L;Decision - Unanimous;Women's Strawweight Bout;-;29 29 29;28 28 28
JOEL ALVAREZ;ELVES BRENER;03/08/2024;W;L;KO/TKO;Lightweight Bout;perf;20 20 20;18 18 18
AZAMAT MURZAKANOV;ALONZO MENIFIELD;03/08/2024;W;L;KO/TKO;Light Heavyweight Bout;perf;10 10 10;9 9 9
MOHAMMAD YAHYA;KAUE FERNANDES;03/08/2024;L;W;KO/TKO;Lightweight Bout;-;- - -;- - -
SHAMIL GAZIEV;DON'TALE MAYES;03/08/2024;W;L;Decision - Unanimous;Heavyweight Bout;-;30 30 30;27 27 27
GURAM KUTATELADZE;JORDAN VUCENIC;03/08/2024;W;L;Decision - Unanimous;Lightweight Bout;-;29 29 29;28 28 28
VIKTORIIA DUDAKOVA;SAM HUGHES;03/08/2024;L;W;Decision - Split;Women's Strawweight Bout;-;30 28 28;27 29 29
JAI HERBERT;ROLANDO BEDOYA;03/08/2024;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 29;27 27 28
SEDRIQUES DUMAS;DENIS TIULIULIN;03/08/2024;W;L;Decision - Unanimous;Middleweight Bout;-;29 30 29;28 27 28
LEON EDWARDS;BELAL MUHAMMAD;27/07/2024;L;W;Decision - Unanimous;UFC Welterweight Title Bout;belt;47 47 46;48 48 49
TOM ASPINALL;CURTIS BLAYDES;27/07/2024;W;L;KO/TKO;UFC Interim Heavyweight Title Bout;belt;- - -;- - -
KING GREEN;PADDY PIMBLETT;27/07/2024;L;W;Submission;Lightweight Bout;perf;- - -;- - -
CHRISTIAN LEROY DUNCAN;GREGORY RODRIGUES;27/07/2024;L;W;Decision - Unanimous;Middleweight Bout;-;27 27 27;30 30 30
ARNOLD ALLEN;GIGA CHIKADZE;27/07/2024;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
NATHANIEL WOOD;DANIEL PINEDA;27/07/2024;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;27 27 28
MOLLY MCCANN;BRUNA BRASIL;27/07/2024;L;W;Decision - Unanimous;Women's Strawweight Bout;-;27 28 27;30 29 30
JAKE HADLEY;CAOLAN LOUGHRAN;27/07/2024;W;L;Decision - Unanimous;Bantamweight Bout;-;29 30 30;28 27 27
MUHAMMAD MOKAEV;MANEL KAPE;27/07/2024;W;L;Decision - Unanimous;Flyweight Bout;-;29 30 29;28 27 28
OBAN ELLIOTT;PRESTON PARSONS;27/07/2024;W;L;Decision - Unanimous;Welterweight Bout;-;30 29 30;27 28 27
MODESTAS BUKAUSKAS;MARCIN PRACHNIO;27/07/2024;W;L;Submission;Light Heavyweight Bout;-;19 20 19;19 18 19
SAM PATTERSON;KIEFER CROSBIE;27/07/2024;W;L;Submission;Welterweight Bout;-;- - -;- - -
MICK PARKIN;LUKASZ BRZESKI;27/07/2024;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
SHAUNA BANNON;ALICE ARDELEAN;27/07/2024;W;L;Decision - Split;Women's Strawweight Bout;-;30 29 28;27 28 29
