red_fighter_name;blue_fighter_name;Date;red_fighter_total_pts;blue_fighter_total_pts
 STIPE MIOCIC; DANIEL CORMIER;8/15/2020; 49 49 48; 46 46 47
 SEAN O’MALLEY; MARLON VERA; 8/15/2020; - - -;- - -
 JUNIOR DOS SANTOS;JAIRZINHO ROZENSTRUIK;8/15/2020;10 10 10;9 9 10
 HERBERT BURNS;DANIEL PINEDA; 8/15/2020;8 8 8;10 10 10
JOHN DODSON;MERAB DVALISHVILI; 8/15/2020;27 27 27;30 30 30
 JIM MILLER ;VINC PICHEL ; 8/15/2020;27 28 28;29 29 29
FELICE HERRIG;VIRNA JANDIROBA; 8/15/2020;- - -;- - -
TJ BROWN;DANNY CHAVEZ; 8/15/2020;28 28 28;29 29 29
ASHLEY YODER ;LIVIA SOUZA; 8/15/2020;28 27 28;29 30 29
CHRIS DAUKUS;PARKER PORTER;8/15/2020;- - -;- - -
KAI KAMAKA ;TONY KELLEY;8/15/2020;29 29 29;28 28 28
ALEX CACERES;CHASE HOOPER;6/6/2020;30 30 30;27 27 27
JUSSIER FORMIGA;ALEX PEREZ;6/6/2020;- - -;- - -
ALEX VOLKANOVSKI;MAX HOLLOWAY;11/7/2020;48 47 48;47 48 47
ALJAMAIN STERLING;CODY SANDHAGEN;6/6/2020;- - -;- - -
AMANDA NUNES;FELICIA SPENCER;6/6/2020;50 50 50;44 44 44
AMANDA RIBAS ;PAIGE VANZANT;7/11/2020;- - -;- - -
RAPHAEL ASSUNCAO;CODY GARBRANDT;6/6/2020;9 9 9;10 10 10
CODY STAMANN ;BRIAN KELLEHER;6/6/2020;30 30 30;27 27 27
ALONZO MENIFIELD;DEVIN CLARK;6/6/2020;28 27 28;29 30 29
EVAN DUNHAM;HERBERT BURNS;6/6/2020;- - -;- - -
IAN HEINISH;GERALD MEERSCHAERT;6/6/2020;- - -;- - -
VOLKAN OEZDEMIR;JIRI PROCHAZKA;7/11/2020;10 10 10;9 9 9
KAMARU USMAN;JORGE MASVIDAL;11/7/2020;50 50 49;45 45 46
KAROL ROSA;VANESSA MELO;7/11/2020;30 29 30;26 27 26
LEO SANTOS;ROMAN BOGATOV;7/11/2020;29 29 29;26 26 26
CHARLES BYRD;MAKI PITOLO;6/6/2020;10 10 10;9 9 9
MAKWAN AMIRKHANI;DAN HENRY;7/11/2020;- - -;- - -
MARCIN TYBURA;MAXIN GRISHIN;11/7/2020;30 30 30;27 26 27
NEIL MAGNY;TONY MARTIN;6/6/2020;29 30 30;28 27 27
PETR YAN;JOSE ALDO;11/7/2020;39 39 39;37 37 37
RAULIAN PAIVA;ZHAL ZHAMUGULOV;7/11/2020;29 29 29;28 28 28
JESSICA ANDRADE ;ROSE NAMAJUNAS;7/11/2020;29 28 28;28 29 29
EDDIE WINELAND;SEAN O’MALLEY;6/6/2020;- - -;- - -
FABRICIO WERDUM;ALEXEI OLEINIK;5/10/2020;29 28 28;28 29 29
DONAL CERRONE;ANTHONY PETTIS;5/10/2020;28 28 28;29 29 29
BRYCE MITCHELL;CHARLES ROSA;5/10/2020;25 25 24;30 30 30
CALVIN KATTAR ;JEREMY STEPHENS;5/10/2020;19 19 19;18 18 18
MICHELLE WATERSON;CARLA ESPARZA;5/10/2020;27 28 30;30 29 27
JAIRZINHO ROZENSTRUIK;FRANCIS NGANNOU;5/10/2020;8 8 9;10 10 10
YORGAN DECASTRO;GREG HARDY;5/10/2020;27 27 27;30 30 30
DOMINICK CRUZ;HENRY CEJUDO;5/10/2020;17 16 17;20 20 20
JUSTIN GAETHJE;TONY FERGUSON;5/10/2020;49 49 50;44 45 44
SAM ALVEY;RYAN SPANN;5/10/2020;28 28 29;29 29 28
NIKO PRICE;VICENTE LUQUE;5/10/2020;26 26 26;29 29 30
