red_fighter_name;blue_fighter_name;event_date;red_fighter_nickname;blue_fighter_nickname;red_fighter_result;blue_fighter_result;method;round;time;time_format;referee;details;bout_type;bonus;event_name;event_location;red_fighter_KD;blue_fighter_KD;red_fighter_sig_str;blue_fighter_sig_str;red_fighter_sig_str_pct;blue_fighter_sig_str_pct;red_fighter_total_str;blue_fighter_total_str;red_fighter_TD;blue_fighter_TD;red_fighter_TD_pct;blue_fighter_TD_pct;red_fighter_sub_att;blue_fighter_sub_att;red_fighter_rev;blue_fighter_rev;red_fighter_ctrl;blue_fighter_ctrl;red_fighter_sig_str_head;blue_fighter_sig_str_head;red_fighter_sig_str_body;blue_fighter_sig_str_body;red_fighter_sig_str_leg;blue_fighter_sig_str_leg;red_fighter_sig_str_distance;blue_fighter_sig_str_distance;red_fighter_sig_str_clinch;blue_fighter_sig_str_clinch;red_fighter_sig_str_ground;blue_fighter_sig_str_ground;red_fighter_sig_str_head_pct;blue_fighter_sig_str_head_pct;red_fighter_sig_str_body_pct;blue_fighter_sig_str_body_pct;red_fighter_sig_str_leg_pct;blue_fighter_sig_str_leg_pct;red_fighter_sig_str_distance_pct;blue_fighter_sig_str_distance_pct;red_fighter_sig_str_clinch_pct;blue_fighter_sig_str_clinch_pct;red_fighter_sig_str_ground_pct;blue_fighter_sig_str_ground_pct
Ilia Topuria;Max Holloway;October 26, 2024;El Matador;Blessed;W;L;KO/TKO;3;1:34;5 Rnd (5-5-5-5-5);Marc Goddard;Punch to Head At Distance;UFC Featherweight Title Bout;belt;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;1;0;75 of 144;79 of 204;52;38;78 of 147;84 of 209;2 of 2;0 of 0;100;---;0;0;0;0;0:45;0:00;49 of 114;47 of 151;11 of 14;13 of 30;15 of 16;19 of 23;71 of 140;79 of 204;0 of 0;0 of 0;4 of 4;0 of 0;65;59;14;16;20;24;94;100;0;0;5;0
Robert Whittaker;Khamzat Chimaev;October 26, 2024;The Reaper;Borz;L;W;Submission;1;3:34;5 Rnd (5-5-5-5-5);Jason Herzog;Rear Naked Choke;Middleweight Bout;perf;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;2 of 2;3 of 4;100;75;2 of 2;25 of 31;0 of 0;2 of 4;---;50;0;1;0;0;0:00;3:20;0 of 0;2 of 3;0 of 0;1 of 1;2 of 2;0 of 0;2 of 2;0 of 1;0 of 0;0 of 0;0 of 0;3 of 3;0;66;0;33;100;0;100;0;0;0;0;100
Magomed Ankalaev;Aleksandar Rakic;October 26, 2024;;Rocket;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Vitor Ribeiro;Sal D'amato 28 - 29. Jacob Montalvo 28 - 29. Tony Weeks 28 - 29.;Light Heavyweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;55 of 114;53 of 117;48;45;75 of 142;59 of 123;0 of 0;0 of 1;---;0;0;0;0;0;1:31;1:00;20 of 72;10 of 65;22 of 29;9 of 12;13 of 13;34 of 40;50 of 105;50 of 111;5 of 9;3 of 6;0 of 0;0 of 0;36;18;40;16;23;64;90;94;9;5;0;0
Lerone Murphy;Dan Ige;October 26, 2024;The Miracle;50K;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29.;Featherweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;1;52 of 100;46 of 106;52;43;78 of 133;52 of 116;3 of 5;1 of 3;60;33;0;0;0;2;2:17;4:47;36 of 77;35 of 92;12 of 17;5 of 8;4 of 6;6 of 6;37 of 80;32 of 79;12 of 16;6 of 16;3 of 4;8 of 11;69;76;23;10;7;13;71;69;23;13;5;17
Shara Magomedov;Armen Petrosyan;October 26, 2024;Bullet;Superman;W;L;KO/TKO;2;4:52;3 Rnd (5-5-5);Kerry Hatley;Spinning Back Fist Head;Middleweight Bout;perf;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;1;0;65 of 106;77 of 140;61;55;67 of 108;77 of 141;0 of 0;0 of 0;---;---;0;0;0;0;0:02;0:21;24 of 53;22 of 66;29 of 34;10 of 14;12 of 19;45 of 60;63 of 104;75 of 138;2 of 2;2 of 2;0 of 0;0 of 0;36;28;44;12;18;58;96;97;3;2;0;0
Ibo Aslan;Rafael Cerqueira;October 26, 2024;The Last Ottoman;The Lion;W;L;KO/TKO;1;0:51;3 Rnd (5-5-5);Marc Goddard;Punches to Head At Distance;Light Heavyweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;28 of 36;1 of 1;77;100;28 of 36;1 of 1;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;26 of 33;0 of 0;2 of 2;0 of 0;0 of 1;1 of 1;28 of 36;1 of 1;0 of 0;0 of 0;0 of 0;0 of 0;92;0;7;0;0;100;100;100;0;0;0;0
Geoff Neal;Rafael Dos Anjos;October 26, 2024;Handz of Steel;;W;L;KO/TKO;1;1:30;3 Rnd (5-5-5);Mark Smith;to At Distance Dos Anjos leg injury;Welterweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;1;0;18 of 30;4 of 13;60;30;21 of 34;4 of 13;1 of 1;0 of 0;100;---;0;0;0;0;0:27;0:00;12 of 24;2 of 10;3 of 3;1 of 1;3 of 3;1 of 2;13 of 24;4 of 13;0 of 0;0 of 0;5 of 6;0 of 0;66;50;16;25;16;25;72;100;0;0;27;0
Mateusz Rebecki;Myktybek Orolbai;October 26, 2024;;;W;L;Decision - Split;3;5:00;3 Rnd (5-5-5);Vitor Ribeiro;Jacob Montalvo 29 - 28. Sal D'amato 28 - 29. Ben Cartlidge 28 - 29.;Catch Weight Bout;fight;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;1;0;71 of 146;61 of 135;48;45;93 of 174;85 of 162;3 of 4;2 of 5;75;40;0;0;0;1;2:24;2:05;52 of 123;46 of 114;10 of 11;6 of 11;9 of 12;9 of 10;54 of 126;60 of 133;5 of 6;0 of 1;12 of 14;1 of 1;73;75;14;9;12;14;76;98;7;0;16;1
Abus Magomedov;Brunno Ferreira;October 26, 2024;;The Hulk;W;L;Submission;3;3:14;3 Rnd (5-5-5);Marc Goddard;Arm Triangle From Side Control;Middleweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;26 of 59;29 of 71;44;40;45 of 81;36 of 83;4 of 8;0 of 0;50;---;1;1;0;1;3:36;0:13;10 of 40;20 of 59;8 of 11;9 of 12;8 of 8;0 of 0;26 of 57;26 of 65;0 of 0;1 of 2;0 of 2;2 of 4;38;68;30;31;30;0;100;89;0;3;0;6
Kennedy Nzechukwu;Chris Barnett;October 26, 2024;African Savage;Beastboy;W;L;KO/TKO;1;4:27;3 Rnd (5-5-5);Jason Herzog;Knee to Body At Distance;Heavyweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;51 of 74;12 of 34;68;35;51 of 74;12 of 34;0 of 0;0 of 1;---;0;0;0;0;0;0:00;0:00;28 of 50;3 of 22;22 of 23;2 of 3;1 of 1;7 of 9;50 of 73;12 of 34;0 of 0;0 of 0;1 of 1;0 of 0;54;25;43;16;1;58;98;100;0;0;1;0
Farid Basharat;Victor Hugo;October 26, 2024;Ferocious;Striker;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kerry Hatley;Mike Bell 27 - 30. Hadi Mohamed Ali 28 - 29. David Lethaby 28 - 29.;Featherweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;60 of 126;45 of 125;47;36;89 of 168;48 of 128;4 of 7;1 of 4;57;25;0;1;0;0;4:37;0:18;39 of 98;23 of 82;8 of 13;14 of 28;13 of 15;8 of 15;54 of 116;43 of 122;2 of 3;2 of 3;4 of 7;0 of 0;65;51;13;31;21;17;90;95;3;4;6;0
Ismail Naurdiev;Bruno Silva;October 26, 2024;;Blindado;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;Sal D'amato 27 - 30. Jacob Montalvo 27 - 30. Tony Weeks 27 - 30.;Middleweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;66 of 116;36 of 97;56;37;107 of 166;38 of 100;3 of 13;0 of 3;23;0;0;0;0;0;5:51;0:00;42 of 87;28 of 83;15 of 20;4 of 6;9 of 9;4 of 8;51 of 96;30 of 85;11 of 16;6 of 12;4 of 4;0 of 0;63;77;22;11;13;11;77;83;16;16;6;0
Rinat Fakhretdinov;Carlos Leal;October 26, 2024;Gladiator;The Lion;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Vitor Ribeiro;Mike Bell 28 - 29. David Lethaby 28 - 29. Hadi Mohamed Ali 27 - 30.;Welterweight Bout;-;UFC 308: Topuria vs. Holloway;Abu Dhabi, Abu Dhabi, United Arab Emirates;0;0;109 of 222;107 of 246;49;43;119 of 236;146 of 292;2 of 19;1 of 4;10;25;0;0;0;0;3:14;0:13;82 of 184;72 of 207;15 of 26;16 of 20;12 of 12;19 of 19;96 of 197;94 of 231;13 of 25;13 of 15;0 of 0;0 of 0;75;67;13;14;11;17;88;87;11;12;0;0
Anthony Hernandez;Michel Pereira;October 19, 2024;Fluffy;Demolidor;W;L;KO/TKO;5;2:22;5 Rnd (5-5-5-5-5);Herb Dean;Elbows to Head On Ground;Middleweight Bout;perf;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;152 of 212;24 of 53;71;45;219 of 293;29 of 62;10 of 29;0 of 1;34;0;0;1;0;1;15:42;0:56;125 of 182;8 of 27;22 of 24;16 of 26;5 of 6;0 of 0;43 of 81;20 of 45;12 of 14;4 of 8;97 of 117;0 of 0;82;33;14;66;3;0;28;83;7;16;63;0
Rob Font;Kyler Phillips;October 19, 2024;;The Matrix;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;Mike Bell 28 - 29. Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29.;Bantamweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;61 of 137;38 of 125;44;30;65 of 144;50 of 143;0 of 1;4 of 5;0;80;0;0;0;0;1:19;4:42;50 of 122;19 of 98;11 of 15;9 of 14;0 of 0;10 of 13;56 of 131;32 of 112;5 of 6;1 of 6;0 of 0;5 of 7;81;50;18;23;0;26;91;84;8;2;0;13
Charles Johnson;Sumudaerji;October 19, 2024;InnerG;The Tibetan Eagle;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;Mike Bell 28 - 29. Chris Leben 28 - 29. Ron McCarthy 28 - 29.;Flyweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;1;0;65 of 150;75 of 144;43;52;84 of 177;78 of 149;2 of 6;0 of 3;33;0;0;2;0;1;2:58;0:50;42 of 113;41 of 96;15 of 22;7 of 15;8 of 15;27 of 33;49 of 123;68 of 135;5 of 10;7 of 9;11 of 17;0 of 0;64;54;23;9;12;36;75;90;7;9;16;0
Jake Hadley;Cameron Smotherman;October 19, 2024;White Kong;The Baby-Faced Killa;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;Adalaide Byrd 26 - 30. Ben Cartlidge 27 - 29. Derek Cleary 27 - 29.;Bantamweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;60 of 165;96 of 259;36;37;70 of 176;97 of 260;1 of 2;0 of 0;50;---;0;0;0;0;1:53;0:00;28 of 124;43 of 181;17 of 24;48 of 72;15 of 17;5 of 6;59 of 163;96 of 259;1 of 2;0 of 0;0 of 0;0 of 0;46;44;28;50;25;5;98;100;1;0;0;0
Darren Elkins;Daniel Pineda;October 19, 2024;The Damage;The Pit;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;Ben Cartlidge 28 - 29. Junichiro Kamijo 28 - 29. Tony Weeks 28 - 29.;Featherweight Bout;fight;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;39 of 88;31 of 53;44;58;102 of 170;61 of 85;3 of 12;0 of 0;25;---;0;2;1;1;6:33;3:02;30 of 78;21 of 38;9 of 10;7 of 10;0 of 0;3 of 5;28 of 70;17 of 37;3 of 7;1 of 1;8 of 11;13 of 15;76;67;23;22;0;9;71;54;7;3;20;41
Matheus Nicolau;Asu Almabayev;October 19, 2024;;Zulfikar;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;Mike Bell 28 - 29. Ron McCarthy 28 - 29. Brian Puccillo 28 - 29.;Flyweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;1;16 of 42;22 of 54;38;40;38 of 68;55 of 112;0 of 1;1 of 6;0;16;1;0;0;0;0:00;5:17;8 of 26;7 of 36;5 of 9;8 of 9;3 of 7;7 of 9;12 of 37;17 of 46;0 of 0;1 of 3;4 of 5;4 of 5;50;31;31;36;18;31;75;77;0;4;25;18
Brad Katona;Jean Matsumoto;October 19, 2024;Superman;;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;Mike Bell 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.;Bantamweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;89 of 141;89 of 201;63;44;117 of 171;109 of 223;3 of 8;1 of 7;37;14;0;0;0;0;3:35;2:04;68 of 118;62 of 164;12 of 13;6 of 10;9 of 10;21 of 27;73 of 124;85 of 196;15 of 15;4 of 5;1 of 2;0 of 0;76;69;13;6;10;23;82;95;16;4;1;0
Joselyne Edwards;Tamires Vidal;October 19, 2024;La Pantera;Tractor;W;L;Submission;3;4:33;3 Rnd (5-5-5);Herb Dean;Rear Naked Choke;Women's Bantamweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;81 of 134;34 of 69;60;49;151 of 212;53 of 91;4 of 7;0 of 1;57;0;2;0;0;0;4:30;2:35;48 of 94;15 of 44;20 of 26;9 of 14;13 of 14;10 of 11;61 of 108;25 of 57;9 of 11;9 of 12;11 of 15;0 of 0;59;44;24;26;16;29;75;73;11;26;13;0
Jessica Penne;Elise Reed;October 19, 2024;;;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;Adalaide Byrd 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.;Women's Strawweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;54 of 125;117 of 188;43;62;98 of 174;229 of 306;1 of 13;0 of 0;7;---;0;0;0;0;3:16;0:30;26 of 89;84 of 145;18 of 25;18 of 19;10 of 11;15 of 24;44 of 112;110 of 181;10 of 13;7 of 7;0 of 0;0 of 0;48;71;33;15;18;12;81;94;18;5;0;0
Melissa Martinez;Alice Ardelean;October 19, 2024;Super Mely;;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;Mike Bell 27 - 30. Ron McCarthy 27 - 30. Tony Weeks 27 - 30.;Women's Strawweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;72 of 145;92 of 224;49;41;78 of 151;103 of 240;0 of 0;0 of 1;---;0;0;0;0;0;0:00;0:41;33 of 90;59 of 179;18 of 29;15 of 21;21 of 26;18 of 24;72 of 145;91 of 222;0 of 0;1 of 2;0 of 0;0 of 0;45;64;25;16;29;19;100;98;0;1;0;0
Austen Lane;Robelis Despaigne;October 19, 2024;;The Big Boy;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29. Brian Puccillo 28 - 29.;Heavyweight Bout;-;UFC Fight Night: Hernandez vs. Pereira;Las Vegas, Nevada, USA;0;0;23 of 38;31 of 46;60;67;78 of 110;48 of 68;3 of 8;0 of 0;37;---;0;0;0;0;8:58;0:00;7 of 20;23 of 38;6 of 7;2 of 2;10 of 11;6 of 6;17 of 28;21 of 36;0 of 0;10 of 10;6 of 10;0 of 0;30;74;26;6;43;19;73;67;0;32;26;0
Brandon Royval;Tatsuro Taira;October 12, 2024;Raw Dawg;;W;L;Decision - Split;5;5:00;5 Rnd (5-5-5-5-5);Jason Herzog;Chris Lee 47 - 48. Sal D'amato 48 - 47. Ron McCarthy 47 - 48.;Flyweight Bout;fight;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;0;0;124 of 232;42 of 99;53;42;172 of 287;80 of 143;3 of 3;6 of 15;100;40;3;1;2;0;2:23;12:13;114 of 216;34 of 91;10 of 16;5 of 5;0 of 0;3 of 3;97 of 203;38 of 93;11 of 12;0 of 1;16 of 17;4 of 5;91;80;8;11;0;7;78;90;8;0;12;9
Brad Tavares;JunYong Park;October 12, 2024;;The Iron Turtle;L;W;Decision - Split;3;5:00;3 Rnd (5-5-5);;Junichiro Kamijo 29 - 28. Mike Bell 28 - 29. Eric Colon 28 - 29.;Middleweight Bout;-;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;0;0;65 of 149;99 of 177;43;55;73 of 159;124 of 210;0 of 0;2 of 6;---;33;0;0;0;0;0:42;6:32;55 of 136;76 of 151;2 of 3;4 of 6;8 of 10;19 of 20;62 of 143;91 of 167;0 of 1;3 of 5;3 of 5;5 of 5;84;76;3;4;12;19;95;91;0;3;4;5
Chidi Njokuani;Jared Gooden;October 12, 2024;Bang Bang;NiteTrain;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;Mike Bell 27 - 30. Chris Lee 27 - 30. Tony Weeks 27 - 30.;Welterweight Bout;-;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;0;0;105 of 148;20 of 50;70;40;162 of 207;81 of 121;0 of 0;2 of 8;---;25;0;1;0;0;9:16;2:29;49 of 81;13 of 37;47 of 57;5 of 10;9 of 10;2 of 3;28 of 48;14 of 42;56 of 65;5 of 6;21 of 35;1 of 2;46;65;44;25;8;10;26;70;53;25;20;5
Grant Dawson;Rafa Garcia;October 12, 2024;KGD;Gifted;W;L;KO/TKO;2;1:42;3 Rnd (5-5-5);Chris Tognoni;Punches to Head From Back Control;Lightweight Bout;-;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;0;0;44 of 90;5 of 12;48;41;80 of 144;29 of 38;2 of 4;0 of 0;50;---;0;0;0;0;5:09;0:00;38 of 76;4 of 8;4 of 12;1 of 4;2 of 2;0 of 0;5 of 24;4 of 11;0 of 0;1 of 1;39 of 66;0 of 0;86;80;9;20;4;0;11;80;0;20;88;0
Daniel Rodriguez;Alex Morono;October 12, 2024;D-Rod;The Great White;W;L;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;Adalaide Byrd 28 - 29. Sal D'amato 29 - 28. Mike Bell 28 - 29.;Welterweight Bout;-;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;0;0;123 of 257;74 of 257;47;28;126 of 260;91 of 276;1 of 1;0 of 1;100;0;0;0;0;0;0:56;0:00;44 of 153;58 of 228;56 of 80;9 of 21;23 of 24;7 of 8;117 of 251;74 of 256;6 of 6;0 of 1;0 of 0;0 of 0;35;78;45;12;18;9;95;100;4;0;0;0
CJ Vergara;Ramazan Temirov;October 12, 2024;;Temurlan;L;W;KO/TKO;1;2:50;3 Rnd (5-5-5);Jason Herzog;Punch to Body At Distance;Flyweight Bout;perf;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;0;3;4 of 16;23 of 55;25;41;4 of 16;23 of 55;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:05;1 of 12;18 of 46;1 of 1;4 of 8;2 of 3;1 of 1;4 of 16;20 of 50;0 of 0;0 of 0;0 of 0;3 of 5;25;78;25;17;50;4;100;86;0;0;0;13
Jonathan Pearce;Pat Sabatini;October 12, 2024;JSP;;L;W;Submission;1;4:06;3 Rnd (5-5-5);Chris Tognoni;Rear Naked Choke;Featherweight Bout;-;UFC Fight Night: Royval vs. Taira;Las Vegas, Nevada, USA;0;0;2 of 2;3 of 5;100;60;32 of 32;19 of 25;0 of 0;2 of 3;---;66;0;1;0;0;0:00;3:56;0 of 0;2 of 4;1 of 1;1 of 1;1 of 1;0 of 0;2 of 2;1 of 2;0 of 0;1 of 1;0 of 0;1 of 2;0;66;50;33;50;0;100;33;0;33;0;33
