red_fighter_name;blue_fighter_name;event_date
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
LUANA PINHEIRO;ANGELA HILL;18/05/2024
VICTOR MARTINEZ;TOM NOLAN;18/05/2024
ALATENGHEILI;KLEYDSON RODRIGUES;18/05/2024
JOAQUIN BUCKLEY;NURSULTON RUZIBOEV;11/05/2024
KAROLINA KOWALKIEWICZ;IASMIN LUCINDO;04/05/2024
KING GREEN;JIM MILLER;13/04/2024
ALEXANDER HERNANDEZ;DAMON JACKSON;06/04/2024
DAN ARGUETA;JEAN MATSUMOTO;06/04/2024
KARL WILLIAMS;JUSTIN TAFA;23/03/2024
OVINCE SAINT PREUX;KENNEDY NZECHUKWU;16/03/2024
GERALD MEERSCHAERT;BRYAN BARBERENA;16/03/2024
JOSIANE NUNES;CHELSEA CHANDLER;16/03/2024
JAFEL FILHO;ODE OSBOURNE;16/03/2024
THIAGO MOISES;MITCH RAMIREZ;16/03/2024
SEAN O'MALLEY;MARLON VERA;09/03/2024
DUSTIN POIRIER;BENOIT SAINT DENIS;09/03/2024
CURTIS BLAYDES;JAILTON ALMEIDA;09/03/2024
MICHEL PEREIRA;MICHAL OLEKSIEJCZUK;09/03/2024
UMAR NURMAGOMEDOV;BEKZAT ALMAKHAN;02/03/2024
LUDOVIT KLEIN;AJ CUNNINGHAM;02/03/2024
YAIR RODRIGUEZ;BRIAN ORTEGA;24/02/2024
CRISTIAN QUINONEZ;RAONI BARCELOS;24/02/2024
EDGAR CHAIREZ;DANIEL LACERDA;24/02/2024
CLAUDIO PUELLES;FARES ZIAM;24/02/2024
VICTOR ALTAMIRANO;FELIPE DOS SANTOS;24/02/2024
ROBERT WHITTAKER;PAULO COSTA;17/02/2024
GEOFF NEAL;IAN MACHADO GARRY;17/02/2024
ANTHONY HERNANDEZ;ROMAN KOPYLOV;17/02/2024
BOLAJI OKI;TIMMY CUAMBA;10/02/2024
LOMA LOOKBOONMEE;BRUNA BRASIL;10/02/2024
GILBERT URBINA;CHARLES RADTKE;03/02/2024
MOLLY MCCANN;DIANA BELBITA;03/02/2024
AZAT MAKSUM;CHARLES JOHNSON;03/02/2024
JEONGYEONG LEE;BLAKE BILDER;03/02/2024
SEAN STRICKLAND;DRICUS DU PLESSIS;20/01/2024
RAQUEL PENNINGTON;MAYRA BUENO SILVA;20/01/2024
NEIL MAGNY;MIKE MALOTT;20/01/2024
CHRIS CURTIS;MARC-ANDRE BARRIAULT;20/01/2024
ARNOLD ALLEN;MOVSAR EVLOEV;20/01/2024
BRAD KATONA;GARRETT ARMFIELD;20/01/2024
CHARLES JOURDAIN;SEAN WOODSON;20/01/2024
SERHIY SIDEY;RAMON TAVERAS;20/01/2024
GILLIAN ROBERTSON;POLYANA VIANA;20/01/2024
YOHAN LAINESSE;SAM PATTERSON;20/01/2024
JASMINE JASUDAVICIUS;PRISCILA CACHOEIRA;20/01/2024
MALCOLM GORDON;JIMMY FLICK;20/01/2024
MARCUS MCGHEE;GASTON BOLANOS;13/01/2024
